


       MOVEINDEX.Q  IMP10YRVOL.Q  VAR_SVENY0025.Q  VAR_SVENY0050.Q  VAR_SVENY0075.Q  VAR_SVENY0100.Q  VAR_SVENY0200.Q  VAR_SVENY0300.Q  VAR_SVENY0500.Q  VAR_SVENY0700.Q  VAR_SVENY1000.Q  VAR_SVENY1500.Q  VAR_SVENY2000.Q  VAR_SVENY3000.Q
      ------------  ------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------

85:3            ND    9.21720424               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND
85:4            ND    7.47154059               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND
10:1   86.59067790    6.18065474       0.00104382       0.00081141       0.00123860       0.00203930       0.00573920       0.00759560       0.00670397       0.00492324       0.00430142       0.00505288       0.00477304       0.00266696
10:2   95.30244700    6.89095452       0.00500130       0.00094561       0.00027403       0.00191101       0.01852135       0.03640018       0.05760267       0.06548023       0.06900961       0.07045041       0.06915319       0.05742325
10:3   89.59090932    6.53852815       0.00051746       0.00017100       0.00014747       0.00041006       0.00400960       0.01074304       0.02679061       0.03854814       0.04515028       0.04192950       0.03524981       0.02572799
10:4   98.38359833    7.16517313       0.00187752       0.00046851       0.00029010       0.00122834       0.01583100       0.04415623       0.10514538       0.13470777       0.12805688       0.09441458       0.07731623       0.05368037
11:1   96.99689992    7.56529828       0.00243365       0.00099793       0.00045413       0.00070688       0.00689331       0.01451679       0.01906602       0.01541141       0.01119914       0.00980968       0.00900648       0.00705385
11:2   80.72417704    6.50789683       0.00163397       0.00063066       0.00052669       0.00163696       0.01855280       0.04438565       0.07304710       0.06719374       0.04612379       0.03142696       0.02675418       0.00867674
11:3   96.02753194    7.22302137       0.00192186       0.00147412       0.00151801       0.00205255       0.00994190       0.02825432       0.09027688       0.16191518       0.24076125       0.27633130       0.25680511       0.21005312
11:4  102.71002706    7.22412702       0.00037246       0.00012739       0.00004170       0.00007312       0.00098945       0.00287677       0.00845593       0.01391428       0.01833846       0.01873151       0.01777303       0.01961100
12:1   79.59812164    5.62737877       0.00084744       0.00085374       0.00108198       0.00148448       0.00412475       0.00739579       0.01322764       0.01669089       0.01801422       0.01713247       0.01712767       0.01733082
12:2   74.09281667    5.17591634       0.00023076       0.00007735       0.00007322       0.00014425       0.00063556       0.00170527       0.00920570       0.02452125       0.05086242       0.07304831       0.06988768       0.05224181
12:3   66.47172419    4.65158513       0.00015274       0.00014397       0.00019001       0.00026581       0.00063870       0.00109190       0.00308199       0.00686939       0.01365422       0.02113838       0.02295195       0.02063841
12:4   59.33326594    4.30912735       0.00045594       0.00028852       0.00018596       0.00013957       0.00037873       0.00104851       0.00284212       0.00453692       0.00626809       0.00711625       0.00647330       0.00457994
13:1   58.70699565    4.35338345       0.00013570       0.00007933       0.00004558       0.00003171       0.00015331       0.00053382       0.00185202       0.00334205       0.00486277       0.00546441       0.00542182       0.00557966
13:2   67.46584574    4.70586363       0.00121180       0.00053490       0.00020112       0.00012283       0.00407710       0.01697894       0.05447163       0.08054150       0.08762637       0.06850876       0.05460847       0.05295244



